Company,StockDate,Open,High,Low,Close,Adj Close,Volume,ret_%,log_ret,intraday_ret_%
AAPL,2021-08-30,149.0,153.49000549316406,148.61000061035156,153.1199951171875,149.90052795410156,90956700,,,0.0276509739408556
AAPL,2021-08-31,152.66000366210938,152.8000030517578,151.2899932861328,151.8300018310547,148.6376190185547,86453100,-0.8424979903563612,-0.00846067065067974,-0.0054369305066425
AAPL,2021-09-01,152.8300018310547,154.97999572753906,152.33999633789062,152.50999450683594,149.3033447265625,80313700,0.44788507270472344,0.004468850523623714,-0.0020938776443417
AAPL,2021-09-02,153.8699951171875,154.72000122070312,152.39999389648438,153.64999389648438,150.41937255859375,71115500,0.7474901745002205,0.007447103109053784,-0.001429786363063
AAPL,2021-09-03,153.75999450683594,154.6300048828125,153.08999633789062,154.3000030517578,151.05567932128906,57808700,0.42302181685238693,0.004221295948754572,0.0035120223999349
AAPL,2021-09-07,154.97000122070312,157.25999450683594,154.38999938964844,156.69000244140625,153.3954620361328,82278300,1.548953819781329,0.01537079986589814,0.0110989301616739
AAPL,2021-09-08,156.97999572753906,157.0399932861328,153.97999572753906,155.11000061035156,151.8486785888672,74420200,-1.0083632375651908,-0.010134816569019739,-0.0119123147412562
AAPL,2021-09-09,155.49000549316406,156.11000061035156,153.9499969482422,154.07000732421875,150.83055114746094,57305700,-0.6704881799879492,-0.006727460501464939,-0.0091324079926651
AAPL,2021-09-10,155.0,155.47999572753906,148.6999969482422,148.97000122070312,145.83775329589844,140893200,-3.3102032801572423,-0.03366230388554997,-0.0389032179309475
AAPL,2021-09-13,150.6300048828125,151.4199981689453,148.75,149.5500030517578,146.4055633544922,102404300,0.3893436683995555,0.0038858768754599627,-0.0071698984003546
AAPL,2021-09-14,150.35000610351562,151.07000732421875,146.91000366210938,148.1199951171875,145.00563049316406,109296300,-0.9562019565735103,-0.009608029206454384,-0.0148321309996672
AAPL,2021-09-15,148.55999755859375,149.44000244140625,146.3699951171875,149.02999877929688,145.8965301513672,83281300,0.6143897000228105,0.006125100216100737,0.0031637131692718
AAPL,2021-09-16,148.44000244140625,148.97000122070312,147.22000122070312,148.7899932861328,145.66156005859375,68034100,-0.1610525572675714,-0.0016118238631263936,0.0023577933102278
AAPL,2021-09-17,148.82000732421875,148.82000732421875,145.75999450683594,146.05999755859375,142.9889373779297,129868800,-1.8348167351695088,-0.018518582733091118,-0.0185459590766721
AAPL,2021-09-20,143.8000030517578,144.83999633789062,141.27000427246094,142.94000244140625,139.93458557128906,123478900,-2.136075603224996,-0.021592198777341476,-0.0059805326293492
AAPL,2021-09-21,143.92999267578125,144.60000610351562,142.77999877929688,143.42999267578125,140.41427612304688,75834000,0.3427962785607752,0.0034221007140002565,-0.0034739111057019
AAPL,2021-09-22,144.4499969482422,146.42999267578125,143.6999969482422,145.85000610351562,142.7834014892578,76404300,1.6872396679486146,0.01673163886937415,0.0096919985105647
AAPL,2021-09-23,146.64999389648438,147.0800018310547,145.63999938964844,146.8300018310547,143.7427520751953,64838200,0.6718922339230549,0.006696450979918642,0.0012274663625104
AAPL,2021-09-24,145.66000366210938,147.47000122070312,145.55999755859375,146.9199981689453,143.83090209960938,53477900,0.06132484813421435,0.0006130605213324105,0.0086502435476987
AAPL,2021-09-27,145.47000122070312,145.9600067138672,143.82000732421875,145.3699951171875,142.3134765625,74150700,-1.055006618854748,-0.010606112681508793,-0.0006874689123285
AAPL,2021-09-28,143.25,144.75,141.69000244140625,141.91000366210938,138.92623901367188,108972300,-2.3801242374544507,-0.024089068193846205,-0.0093542501772468
AAPL,2021-09-29,142.47000122070312,144.4499969482422,142.02999877929688,142.8300018310547,139.82687377929688,74602000,0.6482826944853581,0.006461903800985112,0.0025268520198429
AAPL,2021-09-30,143.66000366210938,144.3800048828125,141.27999877929688,141.5,138.5248565673828,89056700,-0.9311637861325384,-0.009355262181593526,-0.0150355255954868
AAPL,2021-10-01,141.89999389648438,142.9199981689453,139.11000061035156,142.64999389648438,139.65066528320312,94639600,0.8127124212344405,0.008094276987336457,0.0052854124894967
AAPL,2021-10-04,141.75999450683594,142.2100067138672,138.27000427246094,139.13999938964844,136.21446228027344,98322000,-2.460570449815813,-0.024913484091297806,-0.0184819075812051
